Product_ID,Product_Name,Category,Supplier_Name,Order_Date,Delivery_Date,Stock_Quantity,Reorder_Level,Units_Sold,Purchase_Cost,Selling_Price,Warehouse_Location,Shipping_Time_Days
PROD1000,Tablet,Fashion,Supplier D,2023-08-02,2023-08-07,3,59,241,1800,2081,Chennai,5
PROD1001,Tablet,Fashion,Supplier D,2024-04-11,2024-04-13,118,105,70,1950,2169,Hyderabad,2
PROD1002,Mixer,Sports,Supplier A,2024-08-16,2024-08-20,57,108,107,828,1322,Bangalore,4
PROD1003,TV,Sports,Supplier B,2024-11-30,2024-12-02,420,129,271,317,598,Chennai,2
PROD1004,Mixer,Fashion,Supplier C,2024-08-03,2024-08-11,401,77,210,645,1061,Mumbai,8
PROD1005,Laptop,Home Appliances,Supplier B,2023-08-28,2023-09-07,188,103,236,833,1296,Delhi,10
PROD1006,Laptop,Fashion,Supplier A,2024-07-29,2024-08-01,173,58,190,1026,1180,Bangalore,3
PROD1007,Mixer,Home Appliances,Supplier B,2023-09-18,2023-09-28,184,140,76,896,1370,Delhi,10
PROD1008,Camera,Sports,Supplier E,2023-03-27,2023-04-05,158,122,29,1318,1751,Delhi,9
PROD1009,TV,Electronics,Supplier E,2023-06-15,2023-06-19,473,147,115,1680,2001,Chennai,4
PROD1010,Mixer,Home Appliances,Supplier C,2023-06-29,2023-07-04,131,150,256,1258,1365,Bangalore,5
PROD1011,Shoes,Home Appliances,Supplier C,2023-07-04,2023-07-07,150,100,250,565,880,Delhi,3
PROD1012,Mixer,Fashion,Supplier A,2023-06-03,2023-06-05,15,102,289,1928,2022,Bangalore,2
PROD1013,Laptop,Home Appliances,Supplier C,2023-11-19,2023-11-22,417,91,4,1498,1833,Delhi,3
PROD1014,Phone,Sports,Supplier D,2023-07-09,2023-07-17,168,56,11,1439,1809,Chennai,8
PROD1015,AC,Electronics,Supplier E,2023-10-20,2023-10-30,428,63,184,379,661,Delhi,10
PROD1016,Fan,Fashion,Supplier B,2024-03-19,2024-03-25,361,65,221,1383,1514,Chennai,6
PROD1017,AC,Electronics,Supplier E,2024-12-16,2024-12-18,478,99,281,1652,2055,Mumbai,2
PROD1018,AC,Fashion,Supplier A,2023-04-14,2023-04-22,323,71,84,1251,1595,Hyderabad,8
PROD1019,Mixer,Electronics,Supplier C,2024-10-28,2024-10-31,214,76,213,1932,2328,Chennai,3
PROD1020,TV,Electronics,Supplier E,2023-08-13,2023-08-15,217,88,245,1069,1186,Bangalore,2
PROD1021,Fan,Fashion,Supplier C,2024-03-17,2024-03-19,278,64,132,726,1086,Mumbai,2
PROD1022,Phone,Home Appliances,Supplier A,2024-04-04,2024-04-07,208,105,233,350,695,Chennai,3
PROD1023,Watch,Sports,Supplier E,2023-06-19,2023-06-26,236,78,76,772,933,Chennai,7
PROD1024,AC,Electronics,Supplier E,2023-04-28,2023-05-07,192,140,259,1901,2384,Delhi,9
PROD1025,Phone,Electronics,Supplier B,2023-08-25,2023-09-02,130,79,57,1364,1646,Mumbai,8
PROD1026,Phone,Sports,Supplier A,2023-02-05,2023-02-14,456,150,150,238,472,Hyderabad,9
PROD1027,Watch,Sports,Supplier C,2024-01-28,2024-02-03,377,55,154,651,704,Delhi,6
PROD1028,Fan,Home Appliances,Supplier A,2024-05-19,2024-05-26,322,137,50,1431,1824,Bangalore,7
PROD1029,AC,Sports,Supplier A,2023-01-08,2023-01-15,346,93,39,504,597,Delhi,7
PROD1030,Fan,Sports,Supplier A,2024-06-21,2024-06-30,440,140,121,1787,2014,Bangalore,9
PROD1031,Mixer,Home Appliances,Supplier C,2024-04-08,2024-04-11,445,104,148,857,1330,Bangalore,3
PROD1032,Camera,Sports,Supplier A,2023-12-31,2024-01-03,495,134,86,1926,2258,Delhi,3
PROD1033,AC,Sports,Supplier A,2023-01-06,2023-01-07,436,61,50,564,931,Hyderabad,1
PROD1034,Laptop,Home Appliances,Supplier E,2023-03-26,2023-03-27,93,67,37,917,1175,Hyderabad,1
PROD1035,AC,Home Appliances,Supplier C,2024-12-14,2024-12-23,382,90,178,238,350,Mumbai,9
PROD1036,Shoes,Home Appliances,Supplier D,2024-09-15,2024-09-21,284,101,205,1566,1993,Delhi,6
PROD1037,Tablet,Home Appliances,Supplier D,2024-10-08,2024-10-12,353,76,138,1545,1859,Delhi,4
PROD1038,Tablet,Home Appliances,Supplier A,2024-06-16,2024-06-24,330,138,29,362,688,Bangalore,8
PROD1039,Fan,Sports,Supplier C,2024-06-13,2024-06-18,79,109,81,1583,1715,Chennai,5
PROD1040,Tablet,Sports,Supplier E,2023-11-22,2023-11-23,142,75,253,524,639,Bangalore,1
PROD1041,Watch,Electronics,Supplier A,2023-02-22,2023-02-25,239,140,84,368,752,Mumbai,3
PROD1042,TV,Home Appliances,Supplier E,2024-02-11,2024-02-16,112,101,68,1856,1918,Chennai,5
PROD1043,Tablet,Home Appliances,Supplier E,2024-10-09,2024-10-11,115,52,130,1923,2097,Bangalore,2
PROD1044,Camera,Fashion,Supplier B,2023-10-15,2023-10-22,95,85,25,1958,2371,Delhi,7
PROD1045,Fan,Electronics,Supplier D,2023-12-18,2023-12-26,425,95,50,662,1133,Delhi,8
PROD1046,Tablet,Fashion,Supplier C,2023-05-22,2023-05-31,435,80,11,686,879,Delhi,9
PROD1047,Mixer,Home Appliances,Supplier A,2024-12-17,2024-12-19,484,84,43,1685,1975,Delhi,2
PROD1048,Camera,Sports,Supplier E,2023-01-24,2023-01-28,51,144,149,211,478,Mumbai,4
PROD1049,TV,Sports,Supplier C,2024-12-26,2024-12-27,72,84,211,1091,1264,Bangalore,1
PROD1050,Tablet,Electronics,Supplier D,2024-04-21,2024-04-24,499,101,71,1724,2032,Delhi,3
PROD1051,Laptop,Electronics,Supplier C,2024-05-18,2024-05-20,325,51,46,877,953,Hyderabad,2
PROD1052,TV,Fashion,Supplier E,2023-03-03,2023-03-10,376,144,254,1203,1603,Bangalore,7
PROD1053,Fan,Home Appliances,Supplier B,2023-04-16,2023-04-18,231,148,64,1783,1945,Hyderabad,2
PROD1054,Camera,Home Appliances,Supplier E,2024-07-13,2024-07-20,49,117,166,653,741,Chennai,7
PROD1055,Tablet,Fashion,Supplier B,2023-02-09,2023-02-14,36,95,294,1873,2098,Bangalore,5
PROD1056,Laptop,Home Appliances,Supplier D,2023-11-16,2023-11-20,186,134,98,1378,1642,Hyderabad,4
PROD1057,Camera,Home Appliances,Supplier E,2024-07-22,2024-07-25,191,68,117,1132,1417,Delhi,3
PROD1058,Camera,Home Appliances,Supplier A,2024-09-07,2024-09-13,245,142,114,1030,1184,Bangalore,6
PROD1059,Fan,Sports,Supplier B,2023-01-19,2023-01-27,375,80,137,1397,1703,Hyderabad,8
PROD1060,Laptop,Fashion,Supplier D,2023-12-06,2023-12-11,326,97,0,900,1188,Bangalore,5
PROD1061,Tablet,Home Appliances,Supplier D,2023-01-22,2023-01-24,391,65,101,1637,1899,Hyderabad,2
PROD1062,AC,Fashion,Supplier A,2023-10-30,2023-11-09,91,126,214,731,856,Chennai,10
PROD1063,TV,Sports,Supplier D,2023-03-10,2023-03-17,131,111,279,1786,2050,Delhi,7
PROD1064,Fan,Fashion,Supplier E,2024-07-20,2024-07-28,194,105,258,1151,1293,Chennai,8
PROD1065,AC,Electronics,Supplier B,2023-08-15,2023-08-24,250,97,203,1378,1704,Chennai,9
PROD1066,Mixer,Home Appliances,Supplier D,2023-04-07,2023-04-17,24,66,61,1923,2314,Hyderabad,10
PROD1067,Watch,Fashion,Supplier D,2023-05-24,2023-06-01,37,58,142,357,486,Hyderabad,8
PROD1068,AC,Fashion,Supplier E,2024-11-08,2024-11-15,354,108,62,1029,1188,Delhi,7
PROD1069,Camera,Sports,Supplier E,2024-05-16,2024-05-22,445,68,116,1579,1738,Bangalore,6
PROD1070,Phone,Sports,Supplier D,2024-12-28,2024-12-30,173,91,258,838,1226,Hyderabad,2
PROD1071,Camera,Fashion,Supplier C,2023-06-05,2023-06-07,417,69,224,448,933,Hyderabad,2
PROD1072,TV,Fashion,Supplier B,2023-12-02,2023-12-04,217,105,71,356,458,Mumbai,2
PROD1073,TV,Fashion,Supplier E,2023-02-12,2023-02-20,464,103,160,582,958,Chennai,8
PROD1074,Watch,Electronics,Supplier E,2023-06-11,2023-06-20,473,69,79,854,1141,Mumbai,9
PROD1075,TV,Electronics,Supplier B,2023-04-13,2023-04-23,199,56,180,742,825,Mumbai,10
PROD1076,Phone,Electronics,Supplier D,2023-03-19,2023-03-20,189,132,276,845,1020,Delhi,1
PROD1077,Fan,Electronics,Supplier E,2023-03-15,2023-03-19,14,88,235,812,1308,Delhi,4
PROD1078,Watch,Fashion,Supplier B,2024-06-18,2024-06-28,30,62,70,658,799,Delhi,10
PROD1079,Fan,Fashion,Supplier B,2024-06-18,2024-06-26,71,141,174,607,875,Delhi,8
PROD1080,AC,Home Appliances,Supplier D,2024-02-29,2024-03-09,373,64,107,1233,1638,Mumbai,9
PROD1081,TV,Home Appliances,Supplier A,2023-08-04,2023-08-05,463,68,155,855,1237,Mumbai,1
PROD1082,Phone,Fashion,Supplier C,2023-04-02,2023-04-08,301,60,300,457,516,Hyderabad,6
PROD1083,AC,Home Appliances,Supplier C,2023-03-15,2023-03-21,55,102,68,1411,1546,Hyderabad,6
PROD1084,TV,Electronics,Supplier C,2023-01-30,2023-02-09,134,62,22,309,725,Chennai,10
PROD1085,Mixer,Fashion,Supplier E,2023-02-23,2023-02-25,346,139,266,518,856,Mumbai,2
PROD1086,AC,Sports,Supplier E,2024-07-08,2024-07-16,228,70,184,1354,1559,Mumbai,8
PROD1087,Fan,Fashion,Supplier C,2024-08-14,2024-08-20,395,136,27,1491,1791,Chennai,6
PROD1088,Watch,Sports,Supplier A,2023-04-16,2023-04-18,80,146,124,961,1384,Mumbai,2
PROD1089,Fan,Electronics,Supplier B,2023-08-31,2023-09-04,331,89,39,823,1287,Delhi,4
PROD1090,Shoes,Electronics,Supplier C,2023-04-19,2023-04-23,189,75,252,719,1068,Bangalore,4
PROD1091,AC,Home Appliances,Supplier E,2024-09-26,2024-10-03,410,116,31,417,813,Mumbai,7
PROD1092,Laptop,Home Appliances,Supplier E,2024-09-24,2024-09-29,381,108,262,804,1251,Hyderabad,5
PROD1093,Fan,Home Appliances,Supplier B,2023-05-04,2023-05-05,349,83,229,415,671,Chennai,1
PROD1094,TV,Home Appliances,Supplier C,2023-04-20,2023-04-22,393,63,189,1632,1701,Bangalore,2
PROD1095,TV,Sports,Supplier D,2024-09-25,2024-10-03,458,95,57,1362,1817,Bangalore,8
PROD1096,TV,Electronics,Supplier E,2023-05-19,2023-05-22,487,137,29,1589,1855,Hyderabad,3
PROD1097,Phone,Electronics,Supplier C,2024-11-25,2024-12-02,306,104,188,1496,1633,Delhi,7
PROD1098,AC,Electronics,Supplier D,2024-02-23,2024-02-26,404,134,275,1557,1623,Hyderabad,3
PROD1099,Fan,Electronics,Supplier B,2023-08-03,2023-08-08,80,53,231,1361,1550,Hyderabad,5
PROD1100,Camera,Electronics,Supplier D,2024-11-16,2024-11-18,327,59,109,2000,2387,Bangalore,2
PROD1101,Phone,Sports,Supplier A,2023-11-30,2023-12-04,498,51,121,244,581,Chennai,4
PROD1102,Camera,Home Appliances,Supplier E,2024-09-16,2024-09-22,378,84,171,1137,1543,Delhi,6
PROD1103,Watch,Home Appliances,Supplier E,2024-08-03,2024-08-12,143,136,190,1531,1907,Mumbai,9
PROD1104,AC,Electronics,Supplier C,2024-02-06,2024-02-15,472,139,132,850,997,Bangalore,9
PROD1105,Shoes,Home Appliances,Supplier C,2023-09-03,2023-09-13,392,87,6,462,699,Hyderabad,10
PROD1106,TV,Sports,Supplier B,2024-01-05,2024-01-13,74,130,218,821,1179,Chennai,8
